,NeighborhoodName,LargerDistrictName,Latitude,Longitude,Population,HouseholdIncome,AsiansPercent
81,Judkins Park,Atlantic,Latitude Unavailable,Longitude Unavailable,5282,106203,5
82,Madrona,Central Area[120],47.6127915,-122.2912264,7957,116093,4
83,Madrona Valley,Madrona,47.6127915,-122.2912264,9298,70867,8
84,Harrison[120] ,Central Area[120],Latitude Unavailable,Longitude Unavailable,23552,89652,12
85,Washington Park,Harrison/Denny-Blaine,47.6275672,-122.2874862,8555,105125,9
86,Leschi[120],Central Area[120],Latitude Unavailable,Longitude Unavailable,5077,170905,5
87,South End,Seattle,Latitude Unavailable,Longitude Unavailable,1526,102458,13
88,Rainier Valley,South End,47.552544,-122.2908894,1525,102075,11
89,Mount Baker,Rainier Valley[129],47.5785522,-122.2895262,8799,10000,9
90,Columbia City,Rainier Valley[129],47.5579124,-122.2852162,10606,120723,12
91,Hillman City,Rainier Valley[129] / Columbia City,Latitude Unavailable,Longitude Unavailable,8559,120473,12
92,Brighton,Rainier Valley[129],47.5462102,-122.2756794,10234,103434,19
93,Dunlap ,Rainier Valley[129],47.5314881,-122.2695679,6281,113508,13
94,Rainier Beach ,Rainier Valley[129],47.5224207,-122.2793976,10234,103434,13
95,Rainier View ,Rainier Valley[129],Latitude Unavailable,Longitude Unavailable,22354,8985,17
96,Seward Park,South End,47.5512156,-122.2657999,21183,81434,5
97,Lakewood,Seward Park,47.5631545,-122.2717906,4463,175570,13
98,Beacon Hill,South End,47.57925785,-122.3115977,10210,120607,10
99,North Beacon Hill,Beacon Hill[141],47.5775857,-122.3099603,2419,76573,15
100,Mid Beacon Hill ,Beacon Hill[141],Latitude Unavailable,Longitude Unavailable,1111,8985,14
101,Holly Park[144] ,Beacon Hill[141],Latitude Unavailable,Longitude Unavailable,9405,62922,6
102,South Beacon Hill[146] ,Beacon Hill[141],Latitude Unavailable,Longitude Unavailable,4163,58550,13
103,Industrial District,South End,Latitude Unavailable,Longitude Unavailable,78545,2121,12
104,SoDo,Industrial District[147],47.5812603,-122.3274051,4033,38707,9
105,Harbor Island,Industrial District[147],47.5798609,-122.3518815,10114,95714,6
106,Georgetown,South End,47.5489326,-122.3300573,5282,106203,22
107,South Park,South End,47.5264675,-122.3229131,7957,116093,15
108,West Seattle,Seattle,47.5709315,-122.3865166,4392,110923,11
109,Alki Point,West Seattle[151],47.5762895,-122.4207968,9298,70867,8
